_sa_instance_state, exposure_id, exposure_number, timestamp_exposures, user_id
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a25b0>","43178106246/2023-08-04 14:58:29.756872","4","2023-08-04 14:58:29.756872","43178106246",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a2670>","89877907719/2023-08-04 14:58:55.530714","4","2023-08-04 14:58:55.530714","89877907719",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a2730>","32011887559/2023-08-04 14:58:58.404345","1","2023-08-04 14:58:58.404345","32011887559",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a27f0>","32011887559/2023-08-04 14:58:59.086789","2","2023-08-04 14:58:59.086789","32011887559",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a28b0>","95292523500/2023-08-04 14:59:12.342972","2","2023-08-04 14:59:12.342972","95292523500",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a2970>","43178106246/2023-08-04 14:59:37.450163","5","2023-08-04 14:59:37.450163","43178106246",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a2a30>","89877907719/2023-08-04 14:59:38.103890","5","2023-08-04 14:59:38.103890","89877907719",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a2af0>","89877907719/2023-08-04 15:00:09.117809","6","2023-08-04 15:00:09.117809","89877907719",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a2bb0>","64160476867/2023-08-04 15:00:37.605091","1","2023-08-04 15:00:37.605091","64160476867",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a2c70>","33406357842/2023-08-04 15:01:10.712145","1","2023-08-04 15:01:10.712145","33406357842",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a2d30>","34685105076/2023-08-04 15:01:56.876328","1","2023-08-04 15:01:56.876328","34685105076",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a2df0>","55244389432/2023-08-04 15:02:03.571507","1","2023-08-04 15:02:03.571507","55244389432",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a2eb0>","38509956127/2023-08-04 15:02:11.283713","1","2023-08-04 15:02:11.283713","38509956127",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a2f70>","66632171806/2023-08-04 15:02:12.796317","1","2023-08-04 15:02:12.796317","66632171806",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a6070>","50753090975/2023-08-04 15:02:28.849143","1","2023-08-04 15:02:28.849143","50753090975",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a6130>","64160476867/2023-08-04 15:02:35.871681","2","2023-08-04 15:02:35.871681","64160476867",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a61f0>","38509956127/2023-08-04 15:02:49.148025","2","2023-08-04 15:02:49.148025","38509956127",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a62b0>","64160476867/2023-08-04 15:02:52.790403","3","2023-08-04 15:02:52.790403","64160476867",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a6370>","38509956127/2023-08-04 15:03:03.147008","3","2023-08-04 15:03:03.147008","38509956127",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a6430>","66632171806/2023-08-04 15:03:04.318996","2","2023-08-04 15:03:04.318996","66632171806",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a64f0>","66632171806/2023-08-04 15:03:10.483520","3","2023-08-04 15:03:10.483520","66632171806",
